Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C28, C29",0603,4,22pF,C1653
"C10, C23, C24",CP_EIA-3216-18_Kemet-A,3,10Î¼F,C7171
"C12, C13, C14, C15, C16, C17, C19, C20, C22, C26, C27, C30, C31, C32",0402,14,100n,C1525 
"C18, C25, C6, C7",0603,4,330pF,C1664
"C2, C5",0603,2,47pF,C1671
C21,0603,1,330n,C1615
"C3, C8",0603,2,4.7pF,C1669
"C4, C9",0603,2,33pF,C1663
"D1, D2",LED_D1.8mm_W3.3mm_H2.4mm,2,red,
"D10, D5, D6",D_SOD-323,3,1N4148WS,C2128
D3,0603,1,debug led,C2286
"D8, D9",D_SOD-323,2,B5819WS,C7420331
J1,Jack_3.5mm_PJ392_Vertical,1,Resonance CV,
J2,Jack_3.5mm_PJ392_Vertical,1,Bipolar Freq CV,
J3,Jack_3.5mm_PJ392_Vertical,1,Unipolar Freq CV,
"J4, J5",Jack_3.5mm_PJ392_Vertical,2,Input2,
J6,Jack_3.5mm_PJ392_Vertical,1,out,
J7,PinHeader_1x04_P2.54mm_Vertical,1,prog,
P1,Eurorack_10Pin,1,CONN_02X05,C5383106
"Q1, Q2",SOT-363_SC-70-6,2,BCM857BS,C105887
"Q3, Q4, Q5, Q6",SOT-23,4,J112,C258195
"R1, R49, R70, R71",0603,4,10K,C25804
R10,0603,1,680K,C25822
"R11, R21, R28",0603,3,1M,C22935
"R12, R54, R58, R64",0603,4,1k,C21190
"R13, R14, R18, R50",0603,4,47K,C25819
R15,0603,1,150K,C22807
R16,0603,1,4.7K,C23162
R17,0603,1,5.6K,C23189
R19,0805,1,10K NTC,C25804
"R2, R24, R26, R3, R4, R41, R44, R45, R47, R48, R7, R73, R74, R75, R76, R77, R78, R8",0603,18,100k,C25803
"R20, R27",0603,2,1.5K,C22843
R22,0603,1,8.2K,C25981
R23,0603,1,1.8K,C4177
R25,0603,1,820,C23253
"R29, R35, R37, R52, R60, R63",0603,6,68K,C23231
"R30, R36, R38, R53, R62, R65",0603,6,560,C23204
"R31, R32, R39, R55, R56, R68",0603,6,18K,C25810
"R33, R34, R40, R46, R57, R69",0603,6,33K,C4216
"R42, R43",0603,2,56K,C23206
"R5, R6",0603,2,200K,C25811
R51,0603,1,330K,C23137
"R59, R61",0603,2,330,C23138
"R66, R67",1206,2,PPTC,C2649905
R72,0603,1,270K,C22965
"R79, R80",0603,2,470k,C23178
R9,0603,1,110K,C25805
SW1,SW_5.8x5.8mm,1,SW_Push_DPDT,
"TP1, TP2",TestPoint_Pad_2.5x2.5mm,2,TEST_POINT,
"U1, U12, U2, U3, U4",SOIC-8_3.9x4.9mm_P1.27mm,5,TL072,C6961
U10,SOIC-8_3.9x4.9mm_P1.27mm,1,STC8G1K08-36I,C713818
"U5, U6, U7",SOIC-16_3.9x9.9mm_P1.27mm,3,LM13700,C521166
U8,SOIC-16_3.9x9.9mm_P1.27mm,1,DG409,C142533
U9,SOT-89-3,1,L78L05,C71136
"VR1, VR2, VR3, VR4, VR6",Potentiometer_RK09_RV09_Vertical,5,100k,
"VR5, VR7",Potentiometer_Bourns_TC33X_Vertical,2,100K,C128545
