Designator,Mid X,Mid Y,Rotation,Layer
C1,40.132,-50.546,180.0,bottom
C10,36.83,-85.852,0.0,bottom
C11,31.75,-82.754,90.0,bottom
C12,33.782,-14.986,90.0,bottom
C13,21.717,-25.4,0.0,bottom
C14,27.24,-59.845,270.0,bottom
C15,28.575,-59.845,90.0,bottom
C16,29.21,-80.518,180.0,bottom
C17,34.163,-76.327,270.0,bottom
C18,31.496,-110.744,0.0,bottom
C19,16.291,-25.572,0.0,bottom
C2,19.05,-25.654,0.0,bottom
C20,33.274,-19.05,270.0,bottom
C21,35.814,-57.15,180.0,bottom
C22,32.258,-64.77,180.0,bottom
C23,16.811,-38.354,180.0,bottom
C24,40.64,-34.163,270.0,bottom
C25,23.876,-99.06,90.0,bottom
C26,36.322,-102.108,180.0,bottom
C27,23.876,-88.138,0.0,bottom
C28,18.288,-56.642,0.0,bottom
C29,31.75,-19.05,90.0,bottom
C3,38.1,-39.116,180.0,bottom
C30,36.83,-100.838,0.0,bottom
C31,35.306,-106.68,0.0,bottom
C32,32.385,-100.584,180.0,bottom
C4,29.972,-41.847,90.0,bottom
C5,17.78,-16.256,0.0,bottom
C6,33.02,-56.134,270.0,bottom
C7,23.114,-49.53,90.0,bottom
C8,32.512,-85.281,180.0,bottom
C9,23.305,-86.741,180.0,bottom
D1,19.045,-12.827,0.0,top
D10,16.256,-65.024,270.0,bottom
D2,36.835,-12.827,180.0,top
D3,23.368,-70.612,0.0,bottom
D5,25.366,-89.853,0.0,bottom
D6,25.366,-92.202,180.0,bottom
D8,15.367,-34.671,90.0,bottom
D9,40.894,-38.481,90.0,bottom
J1,20.28,-91.44,90.0,top
J2,20.32,-76.2,90.0,top
J3,35.6,-76.2,270.0,top
J4,35.56,-106.68,270.0,top
J5,20.32,-106.68,90.0,top
J6,35.56,-91.44,270.0,top
J7,40.63,-70.485,90.0,bottom
P1,27.94,-35.56,180.0,bottom
Q1,22.352,-27.305,180.0,bottom
Q2,21.082,-15.494,90.0,bottom
Q3,24.13,-41.656,180.0,bottom
Q4,20.32,-47.498,0.0,bottom
Q5,40.005,-109.855,180.0,bottom
Q6,40.005,-102.108,180.0,bottom
R1,20.32,-50.292,180.0,bottom
R10,29.21,-27.686,0.0,bottom
R11,19.05,-30.988,180.0,bottom
R12,22.3,-29.591,0.0,bottom
R13,28.956,-25.908,180.0,bottom
R14,40.132,-48.768,180.0,bottom
R15,19.05,-29.25,180.0,bottom
R16,32.258,-15.494,270.0,bottom
R17,23.622,-15.494,270.0,bottom
R18,34.29,-40.894,0.0,bottom
R19,15.113,-15.3435,90.0,bottom
R2,23.114,-55.88,90.0,bottom
R20,19.05,-27.432,0.0,bottom
R21,23.495,-19.812,0.0,bottom
R22,31.75,-41.847,270.0,bottom
R23,15.113,-18.8435,270.0,bottom
R24,38.1,-37.465,0.0,bottom
R25,15.113,-22.352,90.0,bottom
R26,37.592,-40.862,180.0,bottom
R27,17.78,-14.605,180.0,bottom
R28,25.4,-15.494,90.0,bottom
R29,40.132,-41.91,90.0,bottom
R3,35.687,-65.278,180.0,bottom
R30,35.814,-55.118,180.0,bottom
R31,37.084,-27.686,0.0,bottom
R32,33.528,-50.546,0.0,bottom
R33,27.686,-41.91,90.0,bottom
R34,37.592,-30.099,270.0,bottom
R35,39.243,-30.099,270.0,bottom
R36,40.894,-30.099,90.0,bottom
R37,27.178,-45.72,90.0,bottom
R38,28.956,-45.72,270.0,bottom
R39,21.082,-41.656,90.0,bottom
R4,20.828,-91.44,180.0,bottom
R40,17.526,-41.656,90.0,bottom
R41,24.13,-65.024,270.0,bottom
R42,15.526,-41.656,90.0,bottom
R43,23.368,-80.899,180.0,bottom
R44,23.305,-82.804,180.0,bottom
R45,28.702,-89.662,0.0,bottom
R46,23.305,-84.836,0.0,bottom
R47,35.56,-82.741,270.0,bottom
R48,31.242,-90.678,90.0,bottom
R49,28.702,-93.218,180.0,bottom
R5,25.654,-26.67,180.0,bottom
R50,25.4,-94.234,180.0,bottom
R51,33.75,-82.741,90.0,bottom
R52,27.94,-110.744,0.0,bottom
R53,24.384,-110.744,0.0,bottom
R54,35.052,-91.44,180.0,bottom
R55,40.132,-27.686,180.0,bottom
R56,20.574,-107.442,180.0,bottom
R57,31.242,-93.98,90.0,bottom
R58,32.004,-98.488,270.0,bottom
R59,16.32,-12.827,180.0,bottom
R6,32.258,-25.908,0.0,bottom
R60,39.624,-14.986,0.0,bottom
R61,39.878,-12.827,0.0,bottom
R62,36.068,-14.986,0.0,bottom
R63,40.64,-106.045,270.0,bottom
R64,16.002,-70.612,180.0,bottom
R65,28.702,-94.996,180.0,bottom
R66,17.907,-34.671,90.0,bottom
R67,38.227,-34.163,270.0,bottom
R68,20.574,-105.918,180.0,bottom
R69,40.259,-98.425,270.0,bottom
R7,36.83,-50.546,180.0,bottom
R70,32.512,-87.122,0.0,bottom
R71,28.702,-91.44,0.0,bottom
R72,19.304,-41.643,90.0,bottom
R73,18.288,-54.864,0.0,bottom
R74,20.32,-66.04,0.0,bottom
R75,21.082,-55.88,90.0,bottom
R76,19.558,-70.612,0.0,bottom
R77,27.94,-16.256,180.0,bottom
R78,30.48,-15.494,90.0,bottom
R79,23.495,-18.161,180.0,bottom
R8,20.32,-101.981,0.0,bottom
R80,27.94,-14.478,0.0,bottom
R9,22.3,-31.115,0.0,bottom
SW1,27.94,-99.06,90.0,top
U1,27.94,-21.082,90.0,bottom
U10,27.94,-67.753,270.0,bottom
U12,19.05,-21.082,270.0,bottom
U2,20.32,-61.468,270.0,bottom
U3,35.56,-45.72,90.0,bottom
U4,27.74,-84.901,90.0,bottom
U5,27.94,-53.34,180.0,bottom
U6,37.846,-21.399,0.0,bottom
U7,27.94,-106.107,270.0,bottom
U8,27.94,-76.2,90.0,bottom
U9,35.814,-60.96,0.0,bottom
VR1,27.94,-22.86,0.0,top
VR2,20.32,-45.72,0.0,top
VR3,20.32,-60.96,0.0,top
VR4,35.6,-60.96,0.0,top
VR5,33.528,-29.21,90.0,bottom
VR6,35.6,-45.72,0.0,top
VR7,15.494,-29.21,270.0,bottom
